DATE,Facility_Type,County,Case_Count
2020-08-12 10:00:00,"Staff: Nursing, Assisted Living, Group Homes Affected Facilities",Allegany,3
2020-08-12 10:00:00,"Residents: Nursing, Assisted Living, Group Homes Affected Facilities",Allegany,1
2020-08-12 10:00:00,Staff: State and Local Affected Facilities,Allegany,6
2020-08-12 10:00:00,Patients: State and Local Affected Facilities,Allegany,0
2020-08-12 10:00:00,Inmates: State and Local Affected Facilities,Allegany,0
2020-08-12 10:00:00,Youth: State and Local Affected Facilities,Allegany,0
2020-08-19 10:00:00,"Staff: Nursing, Assisted Living, Group Homes Affected Facilities",Allegany,3
2020-08-19 10:00:00,"Residents: Nursing, Assisted Living, Group Homes Affected Facilities",Allegany,1
2020-08-19 10:00:00,Staff: State and Local Affected Facilities,Allegany,6
2020-08-19 10:00:00,Patients: State and Local Affected Facilities,Allegany,0
2020-08-19 10:00:00,Inmates: State and Local Affected Facilities,Allegany,0
2020-08-19 10:00:00,Youth: State and Local Affected Facilities,Allegany,0
2020-08-26 10:00:00,"Staff: Nursing, Assisted Living, Group Homes Affected Facilities",Allegany,3
2020-08-26 10:00:00,"Residents: Nursing, Assisted Living, Group Homes Affected Facilities",Allegany,1
2020-08-26 10:00:00,Staff: State and Local Affected Facilities,Allegany,7
2020-08-26 10:00:00,Patients: State and Local Affected Facilities,Allegany,0
2020-08-26 10:00:00,Inmates: State and Local Affected Facilities,Allegany,0
2020-08-26 10:00:00,Youth: State and Local Affected Facilities,Allegany,0
2020-08-26 10:00:00,"Staff: Nursing, Assisted Living, Group Homes Affected Facilities",Allegany,3
2020-08-26 10:00:00,"Residents: Nursing, Assisted Living, Group Homes Affected Facilities",Allegany,1
2020-08-26 10:00:00,Staff: State and Local Affected Facilities,Allegany,7
2020-08-26 10:00:00,Patients: State and Local Affected Facilities,Allegany,0
2020-08-26 10:00:00,Inmates: State and Local Affected Facilities,Allegany,0
2020-08-26 10:00:00,Youth: State and Local Affected Facilities,Allegany,0
2020-09-02 10:00:00,"Staff: Nursing, Assisted Living, Group Homes Affected Facilities",Allegany,2
2020-09-02 10:00:00,"Residents: Nursing, Assisted Living, Group Homes Affected Facilities",Allegany,0
2020-09-02 10:00:00,Staff: State and Local Affected Facilities,Allegany,7
2020-09-02 10:00:00,Patients: State and Local Affected Facilities,Allegany,0
2020-09-02 10:00:00,Inmates: State and Local Affected Facilities,Allegany,0
2020-09-02 10:00:00,Youth: State and Local Affected Facilities,Allegany,0
,"Staff: Nursing, Assisted Living, Group Homes Affected Facilities",Allegany,2
,"Residents: Nursing, Assisted Living, Group Homes Affected Facilities",Allegany,0
,Staff: State and Local Affected Facilities,Allegany,8
,Patients: State and Local Affected Facilities,Allegany,0
,Inmates: State and Local Affected Facilities,Allegany,0
,Youth: State and Local Affected Facilities,Allegany,0
,"Staff: Nursing, Assisted Living, Group Homes Affected Facilities",Allegany,2
,"Residents: Nursing, Assisted Living, Group Homes Affected Facilities",Allegany,0
,Staff: State and Local Affected Facilities,Allegany,8
,Patients: State and Local Affected Facilities,Allegany,0
,Inmates: State and Local Affected Facilities,Allegany,0
,Youth: State and Local Affected Facilities,Allegany,0
,"Staff: Nursing, Assisted Living, Group Homes Affected Facilities",Allegany,2
,"Residents: Nursing, Assisted Living, Group Homes Affected Facilities",Allegany,0
,Staff: State and Local Affected Facilities,Allegany,8
,Patients: State and Local Affected Facilities,Allegany,0
,Inmates: State and Local Affected Facilities,Allegany,0
,Youth: State and Local Affected Facilities,Allegany,0
2020-09-16 10:00:00,"Staff: Nursing, Assisted Living, Group Homes Affected Facilities",Allegany,7
2020-09-16 10:00:00,"Residents: Nursing, Assisted Living, Group Homes Affected Facilities",Allegany,11
2020-09-16 10:00:00,Staff: State and Local Affected Facilities,Allegany,8
2020-09-16 10:00:00,Patients: State and Local Affected Facilities,Allegany,0
2020-09-16 10:00:00,Inmates: State and Local Affected Facilities,Allegany,0
2020-09-16 10:00:00,Youth: State and Local Affected Facilities,Allegany,0
2020-09-16 10:00:00,"Staff: Nursing, Assisted Living, Group Homes Affected Facilities",Allegany,7
2020-09-16 10:00:00,"Residents: Nursing, Assisted Living, Group Homes Affected Facilities",Allegany,11
2020-09-16 10:00:00,Staff: State and Local Affected Facilities,Allegany,8
2020-09-16 10:00:00,Patients: State and Local Affected Facilities,Allegany,0
2020-09-16 10:00:00,Inmates: State and Local Affected Facilities,Allegany,0
2020-09-16 10:00:00,Youth: State and Local Affected Facilities,Allegany,0
2020-09-16 10:00:00,"Staff: Nursing, Assisted Living, Group Homes Affected Facilities",Allegany,7
2020-09-16 10:00:00,"Residents: Nursing, Assisted Living, Group Homes Affected Facilities",Allegany,11
2020-09-16 10:00:00,Staff: State and Local Affected Facilities,Allegany,8
2020-09-16 10:00:00,Patients: State and Local Affected Facilities,Allegany,0
2020-09-16 10:00:00,Inmates: State and Local Affected Facilities,Allegany,0
2020-09-16 10:00:00,Youth: State and Local Affected Facilities,Allegany,0
2020-09-16 10:00:00,"Staff: Nursing, Assisted Living, Group Homes Affected Facilities",Allegany,7
2020-09-16 10:00:00,"Residents: Nursing, Assisted Living, Group Homes Affected Facilities",Allegany,11
2020-09-16 10:00:00,Staff: State and Local Affected Facilities,Allegany,8
2020-09-16 10:00:00,Patients: State and Local Affected Facilities,Allegany,0
2020-09-16 10:00:00,Inmates: State and Local Affected Facilities,Allegany,0
2020-09-16 10:00:00,Youth: State and Local Affected Facilities,Allegany,0
2020-09-23 10:00:00,"Staff: Nursing, Assisted Living, Group Homes Affected Facilities",Allegany,6
2020-09-23 10:00:00,"Residents: Nursing, Assisted Living, Group Homes Affected Facilities",Allegany,11
2020-09-23 10:00:00,Staff: State and Local Affected Facilities,Allegany,8
2020-09-23 10:00:00,Patients: State and Local Affected Facilities,Allegany,0
2020-09-23 10:00:00,Inmates: State and Local Affected Facilities,Allegany,0
2020-09-23 10:00:00,Youth: State and Local Affected Facilities,Allegany,0
2020-09-30 10:00:00,"Staff: Nursing, Assisted Living, Group Homes Affected Facilities",Allegany,3
2020-09-30 10:00:00,"Residents: Nursing, Assisted Living, Group Homes Affected Facilities",Allegany,0
2020-09-30 10:00:00,Staff: State and Local Affected Facilities,Allegany,8
2020-09-30 10:00:00,Patients: State and Local Affected Facilities,Allegany,0
2020-09-30 10:00:00,Inmates: State and Local Affected Facilities,Allegany,0
2020-09-30 10:00:00,Youth: State and Local Affected Facilities,Allegany,0
2020-10-07 10:00:00,"Staff: Nursing, Assisted Living, Group Homes Affected Facilities",Allegany,3
2020-10-07 10:00:00,"Residents: Nursing, Assisted Living, Group Homes Affected Facilities",Allegany,0
2020-10-07 10:00:00,Staff: State and Local Affected Facilities,Allegany,8
2020-10-07 10:00:00,Patients: State and Local Affected Facilities,Allegany,0
2020-10-07 10:00:00,Inmates: State and Local Affected Facilities,Allegany,0
2020-10-07 10:00:00,Youth: State and Local Affected Facilities,Allegany,0
2020-10-14 10:00:00,"Staff: Nursing, Assisted Living, Group Homes Affected Facilities",Allegany,3
2020-10-14 10:00:00,"Residents: Nursing, Assisted Living, Group Homes Affected Facilities",Allegany,0
2020-10-14 10:00:00,Staff: State and Local Affected Facilities,Allegany,9
2020-10-14 10:00:00,Patients: State and Local Affected Facilities,Allegany,0
2020-10-14 10:00:00,Inmates: State and Local Affected Facilities,Allegany,0
2020-10-14 10:00:00,Youth: State and Local Affected Facilities,Allegany,0
2020-10-21 10:00:00,"Staff: Nursing, Assisted Living, Group Homes Affected Facilities",Allegany,4
2020-10-21 10:00:00,"Residents: Nursing, Assisted Living, Group Homes Affected Facilities",Allegany,0
2020-10-21 10:00:00,Staff: State and Local Affected Facilities,Allegany,9
2020-10-21 10:00:00,Patients: State and Local Affected Facilities,Allegany,0
2020-10-21 10:00:00,Inmates: State and Local Affected Facilities,Allegany,0
2020-10-21 10:00:00,Youth: State and Local Affected Facilities,Allegany,0
2020-10-28 10:00:00,"Staff: Nursing, Assisted Living, Group Homes Affected Facilities",Allegany,48
2020-10-28 10:00:00,"Residents: Nursing, Assisted Living, Group Homes Affected Facilities",Allegany,91
2020-10-28 10:00:00,Staff: State and Local Affected Facilities,Allegany,10
2020-10-28 10:00:00,Patients: State and Local Affected Facilities,Allegany,0
2020-10-28 10:00:00,Inmates: State and Local Affected Facilities,Allegany,0
2020-10-28 10:00:00,Youth: State and Local Affected Facilities,Allegany,0
2020-11-04 10:00:00,"Staff: Nursing, Assisted Living, Group Homes Affected Facilities",Allegany,53
2020-11-04 10:00:00,"Residents: Nursing, Assisted Living, Group Homes Affected Facilities",Allegany,101
2020-11-04 10:00:00,Staff: State and Local Affected Facilities,Allegany,25
2020-11-04 10:00:00,Patients: State and Local Affected Facilities,Allegany,0
2020-11-04 10:00:00,Inmates: State and Local Affected Facilities,Allegany,0
2020-11-04 10:00:00,Youth: State and Local Affected Facilities,Allegany,0
2020-11-11 10:00:00,"Staff: Nursing, Assisted Living, Group Homes Affected Facilities",Allegany,97
2020-11-11 10:00:00,"Residents: Nursing, Assisted Living, Group Homes Affected Facilities",Allegany,186
2020-11-11 10:00:00,Staff: State and Local Affected Facilities,Allegany,27
2020-11-11 10:00:00,Patients: State and Local Affected Facilities,Allegany,0
2020-11-11 10:00:00,Inmates: State and Local Affected Facilities,Allegany,0
2020-11-11 10:00:00,Youth: State and Local Affected Facilities,Allegany,0
2020-11-18 10:00:00,"Staff: Nursing, Assisted Living, Group Homes Affected Facilities",Allegany,172
2020-11-18 10:00:00,"Residents: Nursing, Assisted Living, Group Homes Affected Facilities",Allegany,297
2020-11-18 10:00:00,Staff: State and Local Affected Facilities,Allegany,56
2020-11-18 10:00:00,Patients: State and Local Affected Facilities,Allegany,0
2020-11-18 10:00:00,Inmates: State and Local Affected Facilities,Allegany,0
2020-11-18 10:00:00,Youth: State and Local Affected Facilities,Allegany,0
2020-11-18 10:00:00,"Staff: Nursing, Assisted Living, Group Homes Affected Facilities",Allegany,172
2020-11-18 10:00:00,"Residents: Nursing, Assisted Living, Group Homes Affected Facilities",Allegany,297
2020-11-18 10:00:00,Staff: State and Local Affected Facilities,Allegany,56
2020-11-18 10:00:00,Patients: State and Local Affected Facilities,Allegany,0
2020-11-18 10:00:00,Inmates: State and Local Affected Facilities,Allegany,0
2020-11-18 10:00:00,Youth: State and Local Affected Facilities,Allegany,0
2020-11-18 10:00:00,"Staff: Nursing, Assisted Living, Group Homes Affected Facilities",Allegany,172
2020-11-18 10:00:00,"Residents: Nursing, Assisted Living, Group Homes Affected Facilities",Allegany,297
2020-11-18 10:00:00,Staff: State and Local Affected Facilities,Allegany,56
2020-11-18 10:00:00,Patients: State and Local Affected Facilities,Allegany,0
2020-11-18 10:00:00,Inmates: State and Local Affected Facilities,Allegany,0
2020-11-18 10:00:00,Youth: State and Local Affected Facilities,Allegany,0
2020-11-18 10:00:00,"Staff: Nursing, Assisted Living, Group Homes Affected Facilities",Allegany,172
2020-11-18 10:00:00,"Residents: Nursing, Assisted Living, Group Homes Affected Facilities",Allegany,297
2020-11-18 10:00:00,Staff: State and Local Affected Facilities,Allegany,56
2020-11-18 10:00:00,Patients: State and Local Affected Facilities,Allegany,0
2020-11-18 10:00:00,Inmates: State and Local Affected Facilities,Allegany,0
2020-11-18 10:00:00,Youth: State and Local Affected Facilities,Allegany,0
2020-11-25 10:00:00,"Staff: Nursing, Assisted Living, Group Homes Affected Facilities",Allegany,277
2020-11-25 10:00:00,"Residents: Nursing, Assisted Living, Group Homes Affected Facilities",Allegany,417
2020-11-25 10:00:00,Staff: State and Local Affected Facilities,Allegany,108
2020-11-25 10:00:00,Patients: State and Local Affected Facilities,Allegany,0
2020-11-25 10:00:00,Inmates: State and Local Affected Facilities,Allegany,0
2020-11-25 10:00:00,Youth: State and Local Affected Facilities,Allegany,0
2020-11-25 10:00:00,"Staff: Nursing, Assisted Living, Group Homes Affected Facilities",Allegany,277
2020-11-25 10:00:00,"Residents: Nursing, Assisted Living, Group Homes Affected Facilities",Allegany,417
2020-11-25 10:00:00,Staff: State and Local Affected Facilities,Allegany,108
2020-11-25 10:00:00,Patients: State and Local Affected Facilities,Allegany,0
2020-11-25 10:00:00,Inmates: State and Local Affected Facilities,Allegany,0
2020-11-25 10:00:00,Youth: State and Local Affected Facilities,Allegany,0
2020-12-02 10:00:00,"Staff: Nursing, Assisted Living, Group Homes Affected Facilities",Allegany,302
2020-12-02 10:00:00,"Residents: Nursing, Assisted Living, Group Homes Affected Facilities",Allegany,431
2020-12-02 10:00:00,Staff: State and Local Affected Facilities,Allegany,182
2020-12-02 10:00:00,Patients: State and Local Affected Facilities,Allegany,0
2020-12-02 10:00:00,Inmates: State and Local Affected Facilities,Allegany,0
2020-12-02 10:00:00,Youth: State and Local Affected Facilities,Allegany,0
2020-12-02 10:00:00,"Staff: Nursing, Assisted Living, Group Homes Affected Facilities",Allegany,302
2020-12-02 10:00:00,"Residents: Nursing, Assisted Living, Group Homes Affected Facilities",Allegany,431
2020-12-02 10:00:00,Staff: State and Local Affected Facilities,Allegany,182
2020-12-02 10:00:00,Patients: State and Local Affected Facilities,Allegany,0
2020-12-02 10:00:00,Inmates: State and Local Affected Facilities,Allegany,0
2020-12-02 10:00:00,Youth: State and Local Affected Facilities,Allegany,0
2020-12-09 10:00:00,"Staff: Nursing, Assisted Living, Group Homes Affected Facilities",Allegany,373
2020-12-09 10:00:00,"Residents: Nursing, Assisted Living, Group Homes Affected Facilities",Allegany,506
2020-12-09 10:00:00,Staff: State and Local Affected Facilities,Allegany,95
2020-12-09 10:00:00,Patients: State and Local Affected Facilities,Allegany,0
2020-12-09 10:00:00,Inmates: State and Local Affected Facilities,Allegany,0
2020-12-09 10:00:00,Youth: State and Local Affected Facilities,Allegany,0
2020-12-09 10:00:00,"Staff: Nursing, Assisted Living, Group Homes Affected Facilities",Allegany,373
2020-12-09 10:00:00,"Residents: Nursing, Assisted Living, Group Homes Affected Facilities",Allegany,506
2020-12-09 10:00:00,Staff: State and Local Affected Facilities,Allegany,95
2020-12-09 10:00:00,Patients: State and Local Affected Facilities,Allegany,0
2020-12-09 10:00:00,Inmates: State and Local Affected Facilities,Allegany,0
2020-12-09 10:00:00,Youth: State and Local Affected Facilities,Allegany,0
2020-12-16 10:00:00,"Staff: Nursing, Assisted Living, Group Homes Affected Facilities",Allegany,364
2020-12-16 10:00:00,"Residents: Nursing, Assisted Living, Group Homes Affected Facilities",Allegany,465
2020-12-16 10:00:00,Staff: State and Local Affected Facilities,Allegany,106
2020-12-16 10:00:00,Patients: State and Local Affected Facilities,Allegany,0
2020-12-16 10:00:00,Inmates: State and Local Affected Facilities,Allegany,0
2020-12-16 10:00:00,Youth: State and Local Affected Facilities,Allegany,0
2020-12-16 10:00:00,"Staff: Nursing, Assisted Living, Group Homes Affected Facilities",Allegany,364
2020-12-16 10:00:00,"Residents: Nursing, Assisted Living, Group Homes Affected Facilities",Allegany,465
2020-12-16 10:00:00,Staff: State and Local Affected Facilities,Allegany,106
2020-12-16 10:00:00,Patients: State and Local Affected Facilities,Allegany,0
2020-12-16 10:00:00,Inmates: State and Local Affected Facilities,Allegany,0
2020-12-16 10:00:00,Youth: State and Local Affected Facilities,Allegany,0
2020-12-16 10:00:00,"Staff: Nursing, Assisted Living, Group Homes Affected Facilities",Allegany,364
2020-12-16 10:00:00,"Residents: Nursing, Assisted Living, Group Homes Affected Facilities",Allegany,465
2020-12-16 10:00:00,Staff: State and Local Affected Facilities,Allegany,266
2020-12-16 10:00:00,Patients: State and Local Affected Facilities,Allegany,0
2020-12-16 10:00:00,Inmates: State and Local Affected Facilities,Allegany,0
2020-12-16 10:00:00,Youth: State and Local Affected Facilities,Allegany,0
2020-12-16 10:00:00,"Staff: Nursing, Assisted Living, Group Homes Affected Facilities",Allegany,364
2020-12-16 10:00:00,"Residents: Nursing, Assisted Living, Group Homes Affected Facilities",Allegany,465
2020-12-16 10:00:00,Staff: State and Local Affected Facilities,Allegany,266
2020-12-16 10:00:00,Patients: State and Local Affected Facilities,Allegany,0
2020-12-16 10:00:00,Inmates: State and Local Affected Facilities,Allegany,0
2020-12-16 10:00:00,Youth: State and Local Affected Facilities,Allegany,0
2020-12-16 10:00:00,"Staff: Nursing, Assisted Living, Group Homes Affected Facilities",Allegany,364
2020-12-16 10:00:00,"Residents: Nursing, Assisted Living, Group Homes Affected Facilities",Allegany,465
2020-12-16 10:00:00,Staff: State and Local Affected Facilities,Allegany,266
2020-12-16 10:00:00,Patients: State and Local Affected Facilities,Allegany,0
2020-12-16 10:00:00,Inmates: State and Local Affected Facilities,Allegany,0
2020-12-16 10:00:00,Youth: State and Local Affected Facilities,Allegany,0
2020-12-23 10:00:00,"Staff: Nursing, Assisted Living, Group Homes Affected Facilities",Allegany,404
2020-12-23 10:00:00,"Residents: Nursing, Assisted Living, Group Homes Affected Facilities",Allegany,472
2020-12-23 10:00:00,Staff: State and Local Affected Facilities,Allegany,277
2020-12-23 10:00:00,Patients: State and Local Affected Facilities,Allegany,0
2020-12-23 10:00:00,Inmates: State and Local Affected Facilities,Allegany,0
2020-12-23 10:00:00,Youth: State and Local Affected Facilities,Allegany,0
2020-12-30 10:00:00,"Staff: Nursing, Assisted Living, Group Homes Affected Facilities",Allegany,406
2020-12-30 10:00:00,"Residents: Nursing, Assisted Living, Group Homes Affected Facilities",Allegany,475
2020-12-30 10:00:00,Staff: State and Local Affected Facilities,Allegany,299
2020-12-30 10:00:00,Patients: State and Local Affected Facilities,Allegany,0
2020-12-30 10:00:00,Inmates: State and Local Affected Facilities,Allegany,0
2020-12-30 10:00:00,Youth: State and Local Affected Facilities,Allegany,0
2020-12-30 10:00:00,"Staff: Nursing, Assisted Living, Group Homes Affected Facilities",Allegany,406
2020-12-30 10:00:00,"Residents: Nursing, Assisted Living, Group Homes Affected Facilities",Allegany,475
2020-12-30 10:00:00,Staff: State and Local Affected Facilities,Allegany,299
2020-12-30 10:00:00,Patients: State and Local Affected Facilities,Allegany,0
2020-12-30 10:00:00,Inmates: State and Local Affected Facilities,Allegany,0
2020-12-30 10:00:00,Youth: State and Local Affected Facilities,Allegany,0
2021-01-06 10:00:00,"Staff: Nursing, Assisted Living, Group Homes Affected Facilities",Allegany,406
2021-01-06 10:00:00,"Residents: Nursing, Assisted Living, Group Homes Affected Facilities",Allegany,473
2021-01-06 10:00:00,Staff: State and Local Affected Facilities,Allegany,308
2021-01-06 10:00:00,Patients: State and Local Affected Facilities,Allegany,0
2021-01-06 10:00:00,Inmates: State and Local Affected Facilities,Allegany,0
2021-01-06 10:00:00,Youth: State and Local Affected Facilities,Allegany,0
2021-01-13 10:00:00,"Staff: Nursing, Assisted Living, Group Homes Affected Facilities",Allegany,325
2021-01-13 10:00:00,"Residents: Nursing, Assisted Living, Group Homes Affected Facilities",Allegany,430
2021-01-13 10:00:00,Staff: State and Local Affected Facilities,Allegany,304
2021-01-13 10:00:00,Patients: State and Local Affected Facilities,Allegany,0
2021-01-13 10:00:00,Inmates: State and Local Affected Facilities,Allegany,0
2021-01-13 10:00:00,Youth: State and Local Affected Facilities,Allegany,0
2021-01-13 10:00:00,"Staff: Nursing, Assisted Living, Group Homes Affected Facilities",Allegany,325
2021-01-13 10:00:00,"Residents: Nursing, Assisted Living, Group Homes Affected Facilities",Allegany,430
2021-01-13 10:00:00,Staff: State and Local Affected Facilities,Allegany,304
2021-01-13 10:00:00,Patients: State and Local Affected Facilities,Allegany,0
2021-01-13 10:00:00,Inmates: State and Local Affected Facilities,Allegany,0
2021-01-13 10:00:00,Youth: State and Local Affected Facilities,Allegany,0
2021-01-20 10:00:00,"Staff: Nursing, Assisted Living, Group Homes Affected Facilities",Allegany,333
2021-01-20 10:00:00,"Residents: Nursing, Assisted Living, Group Homes Affected Facilities",Allegany,420
2021-01-20 10:00:00,Staff: State and Local Affected Facilities,Allegany,150
2021-01-20 10:00:00,Patients: State and Local Affected Facilities,Allegany,0
2021-01-20 10:00:00,Inmates: State and Local Affected Facilities,Allegany,0
2021-01-20 10:00:00,Youth: State and Local Affected Facilities,Allegany,0
2021-01-27 10:00:00,"Staff: Nursing, Assisted Living, Group Homes Affected Facilities",Allegany,157
2021-01-27 10:00:00,"Residents: Nursing, Assisted Living, Group Homes Affected Facilities",Allegany,205
2021-01-27 10:00:00,Staff: State and Local Affected Facilities,Allegany,184
2021-01-27 10:00:00,Patients: State and Local Affected Facilities,Allegany,0
2021-01-27 10:00:00,Inmates: State and Local Affected Facilities,Allegany,0
